id,地域,測地系,年度,ファイル容量,ファイル名,url
L03-a,6542,世界測地系,平成26年,0.26MB,L03-a-14_6542-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6542-jgd_GML.zip
L03-a,6542,日本測地系,平成26年,0.26MB,L03-a-14_6542-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6542-tky_GML.zip
L03-a,6542,世界測地系,平成28年,0.26MB,L03-a-16_6542-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6542-jgd_GML.zip
L03-a,6542,日本測地系,平成28年,0.26MB,L03-a-16_6542-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6542-tky_GML.zip
L03-a,6543,日本測地系,昭和51年,0.25MB,L03-a-76_6543_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_6543_GML.zip
L03-a,6543,日本測地系,昭和62年,0.25MB,L03-a-87_6543_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_6543_GML.zip
L03-a,6543,日本測地系,平成3年,0.21MB,L03-a-91_6543_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_6543_GML.zip
L03-a,6543,日本測地系,平成9年,0.21MB,L03-a-97_6543_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_6543_GML.zip
L03-a,6543,世界測地系,平成18年,0.24MB,L03-a-06_6543-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6543-jgd_GML.zip
L03-a,6543,日本測地系,平成18年,0.24MB,L03-a-06_6543_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6543_GML.zip
L03-a,6543,世界測地系,平成21年,0.27MB,L03-a-09_6543-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6543-jgd_GML.zip
L03-a,6543,日本測地系,平成21年,0.28MB,L03-a-09_6543-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6543-tky_GML.zip
L03-a,6543,世界測地系,平成26年,0.23MB,L03-a-14_6543-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6543-jgd_GML.zip
L03-a,6543,日本測地系,平成26年,0.23MB,L03-a-14_6543-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6543-tky_GML.zip
L03-a,6543,世界測地系,平成28年,0.23MB,L03-a-16_6543-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6543-jgd_GML.zip
L03-a,6543,日本測地系,平成28年,0.23MB,L03-a-16_6543-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6543-tky_GML.zip
L03-a,6544,日本測地系,昭和51年,0.27MB,L03-a-76_6544_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_6544_GML.zip
L03-a,6544,日本測地系,昭和62年,0.27MB,L03-a-87_6544_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_6544_GML.zip
L03-a,6544,日本測地系,平成3年,0.23MB,L03-a-91_6544_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_6544_GML.zip
L03-a,6544,日本測地系,平成9年,0.23MB,L03-a-97_6544_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_6544_GML.zip
L03-a,6544,世界測地系,平成18年,0.26MB,L03-a-06_6544-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6544-jgd_GML.zip
L03-a,6544,日本測地系,平成18年,0.26MB,L03-a-06_6544_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6544_GML.zip
